Source,D:/Repositorios/PonchoDeBiopotenciales/Hardware/PonchoBiopotenciales.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,27/01/2018 11:55:42

Title,Poncho de Adquisición de Biopotenciales
Company,FIUNER
Revision,1.1
Date Issue,lun 05 oct 2015
Comment,Bruno Javier Cesario - Gonzalo Cuenca - Eduardo Filomena (FIUNER)

Reference,Value,Descripción,Fabricante,Nro de parte,Digikey,Footprint,Código Digikey,Library,Library Ref
G2,OSHWA,PonchoBiopotenciales,OSHWA
G1,Logo_Poncho,PonchoBiopotenciales,Logo_Poncho
R33,1.8k,RES SMD 1.8K OHM 5% 1/8W 0805,Yageo,RC0805JR-071K8L,311-1.8KARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
U13,NCP1117ST33T3G,IC REG LINEAR 3.3V 1A SOT223,ON Semiconductor,NCP1117ST33T3G,NCP1117ST33T3GOSCT-ND,SOT-223	,,PonchoBiopotenciales,NCP1117ST33T3G
L1,HZ0805E601R-10,FERRITE BEAD 600 OHM 0805 1LN,Laird-Signal Integrity Products,HZ0805E601R-10,240-2399-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,HZ0805E601R-10
L2,HZ0805E601R-10,FERRITE BEAD 600 OHM 0805 1LN,Laird-Signal Integrity Products,HZ0805E601R-10,240-2399-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,HZ0805E601R-10
C33,10uF,CAP CER 10UF 25V X5R 0805,Murata Electronics North America,GRM219R61E106KA12D,490-7207-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C34,10uF,CAP CER 10UF 25V X5R 0805,Murata Electronics North America,GRM219R61E106KA12D,490-7207-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
FD8,Fiducial,PonchoBiopotenciales,Fiducial
FD7,Fiducial,PonchoBiopotenciales,Fiducial
FD6,Fiducial,PonchoBiopotenciales,Fiducial
FD5,Fiducial,PonchoBiopotenciales,Fiducial
FD9,Fiducial,PonchoBiopotenciales,Fiducial
MH1,PCB_HOLE,PonchoBiopotenciales,PCB_HOLE
MH4,PCB_HOLE,PonchoBiopotenciales,PCB_HOLE
MH3,PCB_HOLE,PonchoBiopotenciales,PCB_HOLE
MH2,PCB_HOLE,PonchoBiopotenciales,PCB_HOLE
FD4,Fiducial,PonchoBiopotenciales,Fiducial
FD3,Fiducial,PonchoBiopotenciales,Fiducial
FD2,Fiducial,PonchoBiopotenciales,Fiducial
FD1,Fiducial,PonchoBiopotenciales,Fiducial
